County,State,2010Census,2017PopEstimate
Reeves County,Texas,13783,15281
Refugio County,Texas,7383,7224
Reno County,Kansas,64511,62510
Rensselaer County,New York,159429,159722
Renville County,Minnesota,15730,14645
Renville County,North Dakota,2470,2463
Republic County,Kansas,4980,4691
Reynolds County,Missouri,6696,6275
Rhea County,Tennessee,31809,32691
Rice County,Kansas,10083,9660
Rice County,Minnesota,64142,65968
Rich County,Utah,2264,2391
Richardson County,Nebraska,8363,7969
Richland County,Illinois,16233,15901
Richland County,Montana,9746,11039
Richland County,North Dakota,16321,16351
Richland County,Ohio,124475,120589
Richland County,South Carolina,384504,411592
Richland County,Wisconsin,18021,17516
Richland Parish,Louisiana,20725,20411
Richmond city,Virginia,204214,227032
Richmond County,Georgia,200549,201800
Richmond County,New York,468730,479458
Richmond County,North Carolina,46639,44798
Richmond County,Virginia,9254,8939
Riley County,Kansas,71115,74172
Ringgold County,Iowa,5131,5034
Rio Arriba County,New Mexico,40246,39159
Rio Blanco County,Colorado,6666,6420
Rio Grande County,Colorado,11982,11301
Ripley County,Indiana,28818,28442
Ripley County,Missouri,14100,13564
Ritchie County,West Virginia,10449,9774
Riverside County,California,2189641,2423266
Roane County,Tennessee,54181,53036
Roane County,West Virginia,14926,14043
Roanoke city,Virginia,97032,99837
Roanoke County,Virginia,92376,93730
Roberts County,South Dakota,10149,10278
Roberts County,Texas,929,938
Robertson County,Kentucky,2282,2134
Robertson County,Tennessee,66283,70177
Robertson County,Texas,16622,17203
Robeson County,North Carolina,134168,132606
Rock County,Minnesota,9687,9490
Rock County,Nebraska,1526,1436
Rock County,Wisconsin,160331,162309
Rock Island County,Illinois,147546,144808
Rockbridge County,Virginia,22307,22659
Rockcastle County,Kentucky,17056,16698
Rockdale County,Georgia,85215,90312
Rockingham County,New Hampshire,295223,306363
Rockingham County,North Carolina,93643,90949
Rockingham County,Virginia,76314,80227
Rockland County,New York,311687,328868
Rockwall County,Texas,78337,96788
Roger Mills County,Oklahoma,3647,3716
Rogers County,Oklahoma,86905,91444
Rolette County,North Dakota,13937,14531
Rooks County,Kansas,5181,5043
Roosevelt County,Montana,10425,11098
Roosevelt County,New Mexico,19846,18847
Roscommon County,Michigan,24449,23895
Roseau County,Minnesota,15629,15327
Rosebud County,Montana,9233,9248
Ross County,Ohio,78064,77313
Routt County,Colorado,23509,25220
Rowan County,Kentucky,23333,24517
Rowan County,North Carolina,138428,140644
Runnels County,Texas,10501,10266
Rush County,Indiana,17392,16645
Rush County,Kansas,3307,3103
Rusk County,Texas,53330,52833
Rusk County,Wisconsin,14755,14151
Russell County,Alabama,52947,57045
Russell County,Kansas,6970,6915
Russell County,Kentucky,17565,17775
Russell County,Virginia,28897,27048
Rutherford County,North Carolina,67810,66551
Rutherford County,Tennessee,262604,317157
Rutland County,Vermont,61642,59087
Sabine County,Texas,10834,10461
Sabine Parish,Louisiana,24233,24018
Sac County,Iowa,10350,9817
Sacramento County,California,1418788,1530615
Sagadahoc County,Maine,35293,35392
Saginaw County,Michigan,200169,191934
Saguache County,Colorado,6108,6626
Salem city,Virginia,24802,25862
Salem County,New Jersey,66083,62792
Saline County,Arkansas,107118,119323
Saline County,Illinois,24913,24102
Saline County,Kansas,55606,54734
Saline County,Missouri,23370,22660
Saline County,Nebraska,14200,14441
Salt Lake County,Utah,1029655,1135649
Saluda County,South Carolina,19875,20452
Sampson County,North Carolina,63431,63430
San Augustine County,Texas,8865,8253
San Benito County,California,55269,60310
San Bernardino County,California,2035210,2157404
San Diego County,California,3095313,3337685
San Francisco County,California,805235,884363
San Jacinto County,Texas,26384,28270
San Joaquin County,California,685306,745424
San Juan County,Colorado,699,715
San Juan County,New Mexico,130044,126926
San Juan County,Utah,14746,15356
San Juan County,Washington,15769,16715
San Luis Obispo County,California,269637,283405
San Mateo County,California,718451,771410
San Miguel County,Colorado,7359,7967
San Miguel County,New Mexico,29393,27748
San Patricio County,Texas,64804,67215
San Saba County,Texas,6131,5959
Sanborn County,South Dakota,2355,2450
Sanders County,Montana,11413,11711
Sandoval County,New Mexico,131561,142507
Sandusky County,Ohio,60944,59195
Sangamon County,Illinois,197465,196452
Sanilac County,Michigan,43114,41269
Sanpete County,Utah,27822,30035
Santa Barbara County,California,423895,448150
Santa Clara County,California,1781642,1938153
Santa Cruz County,Arizona,47420,46212
Santa Cruz County,California,262382,275897
Santa Fe County,New Mexico,144170,148750
Santa Rosa County,Florida,151372,174272
Sarasota County,Florida,379448,419119
Saratoga County,New York,219607,229869
Sargent County,North Dakota,3829,3858
Sarpy County,Nebraska,158840,181439
Sauk County,Wisconsin,61976,63981
Saunders County,Nebraska,20780,21057
Sawyer County,Wisconsin,16557,16418
Schenectady County,New York,154727,155565
Schleicher County,Texas,3461,3001
Schley County,Georgia,5010,5213
Schoharie County,New York,32749,31420
Schoolcraft County,Michigan,8485,8049
Schuyler County,Illinois,7544,7035
Schuyler County,Missouri,4431,4508
Schuyler County,New York,18343,18000
Schuylkill County,Pennsylvania,148289,142569
Scioto County,Ohio,79499,75929
Scotland County,Missouri,4843,4963
Scotland County,North Carolina,36157,35093
Scott County,Arkansas,11233,10445
Scott County,Illinois,5355,5002
Scott County,Indiana,24181,23870
Scott County,Iowa,165224,172509
Scott County,Kansas,4936,4961
Scott County,Kentucky,47173,54873
Scott County,Minnesota,129928,145827
Scott County,Mississippi,28264,28420
Scott County,Missouri,39191,38541
Scott County,Tennessee,22228,21989
Scott County,Virginia,23177,21865
Scotts Bluff County,Nebraska,36970,36363
Screven County,Georgia,14593,13953
Scurry County,Texas,16921,17050
Searcy County,Arkansas,8195,7938
Sebastian County,Arkansas,125744,128107
Sedgwick County,Colorado,2379,2344
Sedgwick County,Kansas,498365,513687
Seminole County,Florida,422718,462659
Seminole County,Georgia,8729,8292
Seminole County,Oklahoma,25482,24878
Seneca County,New York,35251,34498
Seneca County,Ohio,56745,55243
Sequatchie County,Tennessee,14112,14736
Sequoyah County,Oklahoma,42391,41252
Sevier County,Arkansas,17058,17115
Sevier County,Tennessee,89889,97638
Sevier County,Utah,20802,21316
Seward County,Kansas,22952,22159
Seward County,Nebraska,16750,17161
Shackelford County,Texas,3378,3328
Shannon County,Missouri,8441,8249
Sharkey County,Mississippi,4916,4435
Sharp County,Arkansas,17264,17393
Shasta County,California,177223,179921
Shawano County,Wisconsin,41949,40935
Shawnee County,Kansas,177934,178187
Sheboygan County,Wisconsin,115507,115344
Shelby County,Alabama,195085,213605
Shelby County,Illinois,22363,21719
Shelby County,Indiana,44436,44395
Shelby County,Iowa,12167,11628
Shelby County,Kentucky,42074,47421
Shelby County,Missouri,6373,6021
Shelby County,Ohio,49423,48759
Shelby County,Tennessee,927644,936961
Shelby County,Texas,25448,25513
Shenandoah County,Virginia,41993,43225
Sherburne County,Minnesota,88499,94570
Sheridan County,Kansas,2556,2527
Sheridan County,Montana,3384,3469
Sheridan County,Nebraska,5469,5289
Sheridan County,North Dakota,1321,1353
Sheridan County,Wyoming,29116,30210
Sherman County,Kansas,6010,5930
Sherman County,Nebraska,3152,3086
Sherman County,Oregon,1765,1758
Sherman County,Texas,3034,3067
Shiawassee County,Michigan,70648,68446
Shoshone County,Idaho,12765,12542
Sibley County,Minnesota,15226,14869
Sierra County,California,3240,2999
Sierra County,New Mexico,11988,11116
Silver Bow County,Montana,34200,34602
Simpson County,Kentucky,17327,18108
Simpson County,Mississippi,27503,26947
Sioux County,Iowa,33704,34860
Sioux County,Nebraska,1311,1203
Sioux County,North Dakota,4153,4376
Siskiyou County,California,44900,43853
Sitka City and Borough,Alaska,8881,8689
Skagit County,Washington,116901,125619
Skagway Municipality,Alaska,968,1157
Skamania County,Washington,11066,11837
Slope County,North Dakota,727,771
Smith County,Kansas,3853,3668
Smith County,Mississippi,16491,16078
Smith County,Tennessee,19166,19636
Smith County,Texas,209714,227727
Smyth County,Virginia,32208,30656
Snohomish County,Washington,713335,801633
Snyder County,Pennsylvania,39702,40801
Socorro County,New Mexico,17866,16798
Solano County,California,413344,445458
Somerset County,Maine,52228,50626
Somerset County,Maryland,26470,25918
Somerset County,New Jersey,323444,335432
Somerset County,Pennsylvania,77742,74501
Somervell County,Texas,8490,8845
Sonoma County,California,483878,504217
Southampton County,Virginia,18570,17750
Southeast Fairbanks Census Area,Alaska,7029,6888
Spalding County,Georgia,64073,65380
Spartanburg County,South Carolina,284307,306854
Spencer County,Indiana,20952,20394
Spencer County,Kentucky,17061,18507
Spink County,South Dakota,6415,6410
Spokane County,Washington,471221,506152
Spotsylvania County,Virginia,122397,133033
St. Bernard Parish,Louisiana,35897,46202
St. Charles County,Missouri,360485,395504
St. Charles Parish,Louisiana,52780,52749
St. Clair County,Alabama,83593,88199
St. Clair County,Illinois,270056,262479
St. Clair County,Michigan,163040,159350
St. Clair County,Missouri,9805,9362
St. Croix County,Wisconsin,84345,88703
St. Francis County,Arkansas,28258,25930
St. Francois County,Missouri,65359,66705
St. Helena Parish,Louisiana,11203,10363
St. James Parish,Louisiana,22102,21367
St. John the Baptist Parish,Louisiana,45924,43441
St. Johns County,Florida,190039,243812
St. Joseph County,Indiana,266931,270434
St. Joseph County,Michigan,61295,60947
St. Landry Parish,Louisiana,83384,83497
St. Lawrence County,New York,111944,109623
St. Louis city,Missouri,319294,308626
St. Louis County,Minnesota,200226,200000
St. Louis County,Missouri,998954,996726
St. Lucie County,Florida,277789,313506
St. Martin Parish,Louisiana,52160,54171
St. Mary Parish,Louisiana,54650,50973
St. Mary's County,Maryland,105151,112667
St. Tammany Parish,Louisiana,233740,256327
Stafford County,Kansas,4437,4207
Stafford County,Virginia,128961,146649
Stanislaus County,California,514453,547899
Stanley County,South Dakota,2966,3011
Stanly County,North Carolina,60585,61482
Stanton County,Kansas,2235,2060
Stanton County,Nebraska,6129,5988
Stark County,Illinois,5994,5434
Stark County,North Dakota,24199,30209
Stark County,Ohio,375586,372542
Starke County,Indiana,23363,22893
Starr County,Texas,60968,64454
Staunton city,Virginia,23746,24528
Ste. Genevieve County,Missouri,18145,17843
Stearns County,Minnesota,150642,157822
Steele County,Minnesota,36576,36887
Steele County,North Dakota,1975,1917
Stephens County,Georgia,26175,25890
Stephens County,Oklahoma,45048,43332
Stephens County,Texas,9630,9337
Stephenson County,Illinois,47711,45054
Sterling County,Texas,1143,1295
Steuben County,Indiana,34185,34484
Steuben County,New York,98990,96281
Stevens County,Kansas,5724,5612
Stevens County,Minnesota,9726,9634
Stevens County,Washington,43531,44730
Stewart County,Georgia,6058,5985
Stewart County,Tennessee,13324,13355
Stillwater County,Montana,9117,9419
Stoddard County,Missouri,29968,29369
Stokes County,North Carolina,47401,45717
Stone County,Arkansas,12394,12537
Stone County,Mississippi,17786,18112
Stone County,Missouri,32202,31699
Stonewall County,Texas,1490,1388
Storey County,Nevada,4010,4006
Story County,Iowa,89542,97502
Strafford County,New Hampshire,123143,128613
Stutsman County,North Dakota,21100,21087
Sublette County,Wyoming,10247,9799
Suffolk city,Virginia,84585,90237
Suffolk County,Massachusetts,722023,797939
Suffolk County,New York,1493350,1492953
Sullivan County,Indiana,21475,20746
Sullivan County,Missouri,6714,6229
Sullivan County,New Hampshire,43742,43077
Sullivan County,New York,77547,75485
Sullivan County,Pennsylvania,6428,6089
Sullivan County,Tennessee,156823,157158
Sully County,South Dakota,1373,1407
Summers County,West Virginia,13927,12993
Summit County,Colorado,27994,30585
Summit County,Ohio,541781,541228
Summit County,Utah,36324,41106
Sumner County,Kansas,24132,23159
Sumner County,Tennessee,160645,183545
Sumter County,Alabama,13763,12687
Sumter County,Florida,93420,125165
Sumter County,Georgia,32819,29847
Sumter County,South Carolina,107456,106847
Sunflower County,Mississippi,29450,25981
Surry County,North Carolina,73673,72224
Surry County,Virginia,7058,6540
Susquehanna County,Pennsylvania,43356,40985
Sussex County,Delaware,197145,225322
Sussex County,New Jersey,149265,141682
Sussex County,Virginia,12087,11373
Sutter County,California,94737,96648
Sutton County,Texas,4128,3767
Suwannee County,Florida,41551,44190
Swain County,North Carolina,13981,14294
Sweet Grass County,Montana,3651,3691
Sweetwater County,Wyoming,43806,43534
Swift County,Minnesota,9783,9407
Swisher County,Texas,7854,7515
Switzerland County,Indiana,10613,10696
Talbot County,Georgia,6865,6249
Talbot County,Maryland,37782,37103
Taliaferro County,Georgia,1717,1628
Talladega County,Alabama,82291,80065
Tallahatchie County,Mississippi,15378,14125
Tallapoosa County,Alabama,41616,40681
Tama County,Iowa,17767,17058
Taney County,Missouri,51675,55355
Tangipahoa Parish,Louisiana,121097,132497
Taos County,New Mexico,32937,32795
Tarrant County,Texas,1809034,2054475
Tate County,Mississippi,28886,28441
Tattnall County,Georgia,25520,25334
Taylor County,Florida,22570,21833
Taylor County,Georgia,8906,8142
Taylor County,Iowa,6317,6178
Taylor County,Kentucky,24512,25472
Taylor County,Texas,131506,136290
Taylor County,West Virginia,16895,16930
Taylor County,Wisconsin,20689,20321
Tazewell County,Illinois,135394,133526
Tazewell County,Virginia,45078,41095
Tehama County,California,63463,63926
Telfair County,Georgia,16500,15989
Teller County,Colorado,23350,24646
Tensas Parish,Louisiana,5252,4615
Terrebonne Parish,Louisiana,111860,112086
Terrell County,Georgia,9315,8729
Terrell County,Texas,984,810
Terry County,Texas,12651,12715
Teton County,Idaho,10170,11381
Teton County,Montana,6073,6085
Teton County,Wyoming,21294,23265
Texas County,Missouri,26008,25735
Texas County,Oklahoma,20640,20900
Thayer County,Nebraska,5228,5045
Thomas County,Georgia,44720,44779
Thomas County,Kansas,7900,7788
Thomas County,Nebraska,647,725
Throckmorton County,Texas,1641,1527
Thurston County,Nebraska,6940,7223
Thurston County,Washington,252264,280588
Tift County,Georgia,40118,40598
Tillamook County,Oregon,25250,26690
Tillman County,Oklahoma,7992,7433
Tioga County,New York,51125,48578
Tioga County,Pennsylvania,41981,40793
Tippah County,Mississippi,22232,21969
Tippecanoe County,Indiana,172780,190587
Tipton County,Indiana,15936,15128
Tipton County,Tennessee,61081,61366
Tishomingo County,Mississippi,19593,19542
Titus County,Texas,32334,32904
Todd County,Kentucky,12460,12243
Todd County,Minnesota,24895,24515
Todd County,South Dakota,9612,10065
Tolland County,Connecticut,152691,151461
Tom Green County,Texas,110224,118019
Tompkins County,New York,101564,104802
Tooele County,Utah,58218,67456
Toole County,Montana,5324,4886
Toombs County,Georgia,27223,26999
Torrance County,New Mexico,16383,15506
Towner County,North Dakota,2246,2253
Towns County,Georgia,10471,11506
Traill County,North Dakota,8121,8013
Transylvania County,North Carolina,33090,33956
Traverse County,Minnesota,3558,3319
Travis County,Texas,1024266,1226698
Treasure County,Montana,718,679
Trego County,Kansas,3001,2884
Trempealeau County,Wisconsin,28816,29472
Treutlen County,Georgia,6885,6740
Trigg County,Kentucky,14339,14444
Trimble County,Kentucky,8809,8561
Trinity County,California,13786,12709
Trinity County,Texas,14585,14667
Tripp County,South Dakota,5644,5460
Troup County,Georgia,67044,69786
Trousdale County,Tennessee,7870,10083
Trumbull County,Ohio,210312,200380
Tucker County,West Virginia,7141,6915
Tulare County,California,442179,464493
Tulsa County,Oklahoma,603403,646266
Tunica County,Mississippi,10778,10024
Tuolumne County,California,55365,54248
Turner County,Georgia,8930,7961
Turner County,South Dakota,8347,8315
Tuscaloosa County,Alabama,194656,207811
Tuscarawas County,Ohio,92582,92297
Tuscola County,Michigan,55729,52764
Twiggs County,Georgia,9023,8174
Twin Falls County,Idaho,77230,85124
Tyler County,Texas,21766,21539
Tyler County,West Virginia,9208,8795
Tyrrell County,North Carolina,4407,4052
Uinta County,Wyoming,21118,20495
Uintah County,Utah,32588,35150
Ulster County,New York,182493,179417
Umatilla County,Oregon,75889,76985
Unicoi County,Tennessee,18313,17759
Union County,Arkansas,41639,39449
Union County,Florida,15535,15517
Union County,Georgia,21356,23459
Union County,Illinois,17808,17000
Union County,Indiana,7516,7200
Union County,Iowa,12534,12450
Union County,Kentucky,15007,14668
Union County,Mississippi,27134,28556
Union County,New Jersey,536499,563892
Union County,New Mexico,4549,4187
Union County,North Carolina,201292,231366
Union County,Ohio,52300,56741
Union County,Oregon,25748,26222
Union County,Pennsylvania,44947,44595
Union County,South Carolina,28961,27537
Union County,South Dakota,14399,15029
Union County,Tennessee,19109,19442
Union Parish,Louisiana,22721,22571
Upshur County,Texas,39309,41281
Upshur County,West Virginia,24254,24465
Upson County,Georgia,27153,26135
Upton County,Texas,3355,3663
Utah County,Utah,516564,606425
Uvalde County,Texas,26405,27132
Val Verde County,Texas,48879,49205
Valdez-Cordova Census Area,Alaska,9636,9278
Valencia County,New Mexico,76569,75940
Valley County,Idaho,9862,10687
Valley County,Montana,7369,7433
Valley County,Nebraska,4260,4209
Van Buren County,Arkansas,17295,16506
Van Buren County,Iowa,7570,7157
Van Buren County,Michigan,76258,75353
Van Buren County,Tennessee,5548,5742
Van Wert County,Ohio,28744,28217
Van Zandt County,Texas,52579,55182
Vance County,North Carolina,45422,44211
Vanderburgh County,Indiana,179703,181616
Venango County,Pennsylvania,54984,51762
Ventura County,California,823318,854223
Vermilion County,Illinois,81625,77909
Vermilion Parish,Louisiana,57999,60136
Vermillion County,Indiana,16212,15505
Vernon County,Missouri,21159,20437
Vernon County,Wisconsin,29773,30759
Vernon Parish,Louisiana,52334,50726
Victoria County,Texas,86793,92084
Vigo County,Indiana,107848,107516
Vilas County,Wisconsin,21430,21683
Vinton County,Ohio,13435,13092
Virginia Beach city,Virginia,437994,450435
Volusia County,Florida,494593,538692
Wabash County,Illinois,11947,11489
Wabash County,Indiana,32888,31443
Wabasha County,Minnesota,21676,21608
Wabaunsee County,Kansas,7053,6874
Wadena County,Minnesota,13843,13669
Wagoner County,Oklahoma,73085,78657
Wahkiakum County,Washington,3978,4264
Wake County,North Carolina,900993,1072203
Wakulla County,Florida,30776,32120
Waldo County,Maine,38786,39832
Walker County,Alabama,67023,64058
Walker County,Georgia,68756,68939
Walker County,Texas,67861,72245
Walla Walla County,Washington,58781,60567
Wallace County,Kansas,1485,1524
Waller County,Texas,43205,51307
Wallowa County,Oregon,7008,7051
Walsh County,North Dakota,11119,10855
Walthall County,Mississippi,15443,14499
Walton County,Florida,55043,68376
Walton County,Georgia,83768,91600
Walworth County,South Dakota,5438,5543
Walworth County,Wisconsin,102228,103082
Wapello County,Iowa,35625,35044
Ward County,North Dakota,61675,68946
Ward County,Texas,10658,11472
Ware County,Georgia,36312,35871
Warren County,Georgia,5834,5303
Warren County,Illinois,17707,17167
Warren County,Indiana,8508,8201
Warren County,Iowa,46225,50163
Warren County,Kentucky,113792,128845
Warren County,Mississippi,48773,46768
Warren County,Missouri,32513,34373
Warren County,New Jersey,108692,106798
Warren County,New York,65707,64532
Warren County,North Carolina,20972,19883
Warren County,Ohio,212693,228882
Warren County,Pennsylvania,41815,39659
Warren County,Tennessee,39839,40651
Warren County,Virginia,37575,39563
Warrick County,Indiana,59689,62530
Wasatch County,Utah,23530,32106
Wasco County,Oregon,25213,26437
Waseca County,Minnesota,19136,18787
Washakie County,Wyoming,8533,8064
Washburn County,Wisconsin,15911,15758
Washington County,Alabama,17581,16531
Washington County,Arkansas,203065,231996
Washington County,Colorado,4814,4938
Washington County,Florida,24896,24567
Washington County,Georgia,21187,20313
Washington County,Idaho,10198,10121
Washington County,Illinois,14716,14030
Washington County,Indiana,28262,27827
Washington County,Iowa,21704,22281
Washington County,Kansas,5799,5485
Washington County,Kentucky,11717,12126
Washington County,Maine,32856,31593
Washington County,Maryland,147430,150578
Washington County,Minnesota,238136,256348
Washington County,Mississippi,51137,46221
Washington County,Missouri,25195,25022
Washington County,Nebraska,20234,20721
Washington County,New York,63216,61620
Washington County,North Carolina,13228,12012
Washington County,Ohio,61778,60418
Washington County,Oklahoma,50976,51932
Washington County,Oregon,529710,588957
Washington County,Pennsylvania,207820,207298
Washington County,Rhode Island,126979,126150
Washington County,Tennessee,122979,127806
Washington County,Texas,33718,35043
Washington County,Utah,138115,165662
Washington County,Vermont,59534,58290
Washington County,Virginia,54876,54387
Washington County,Wisconsin,131887,135101
Washington Parish,Louisiana,47168,46633
Washita County,Oklahoma,11629,11134
Washoe County,Nevada,421407,460587
Washtenaw County,Michigan,344791,367627
Watauga County,North Carolina,51079,55121
Watonwan County,Minnesota,11211,10840
Waukesha County,Wisconsin,389891,400621
Waupaca County,Wisconsin,52410,51225
Waushara County,Wisconsin,24496,24369
Wayne County,Georgia,30099,29817
Wayne County,Illinois,16760,16495
Wayne County,Indiana,68917,66185
Wayne County,Iowa,6403,6476
Wayne County,Kentucky,20813,20716
Wayne County,Michigan,1820584,1753616
Wayne County,Mississippi,20747,20446
Wayne County,Missouri,13521,13296
Wayne County,Nebraska,9595,9318
Wayne County,New York,93772,90670
Wayne County,North Carolina,122623,124172
Wayne County,Ohio,114520,116038
Wayne County,Pennsylvania,52822,51205
Wayne County,Tennessee,17021,16583
Wayne County,Utah,2778,2719
Wayne County,West Virginia,42481,40153
Waynesboro city,Virginia,21006,22327
Weakley County,Tennessee,35021,33337
Webb County,Texas,250304,274794
Weber County,Utah,231236,251769
Webster County,Georgia,2799,2605
Webster County,Iowa,38013,36605
Webster County,Kentucky,13621,13018
Webster County,Mississippi,10253,9765
Webster County,Missouri,36202,38665
Webster County,Nebraska,3812,3524
Webster County,West Virginia,9154,8372
Webster Parish,Louisiana,41207,39378
Weld County,Colorado,252825,304633
Wells County,Indiana,27636,27984
Wells County,North Dakota,4207,4022
West Baton Rouge Parish,Louisiana,23788,26265
West Carroll Parish,Louisiana,11604,10981
West Feliciana Parish,Louisiana,15625,15380
Westchester County,New York,949113,980244
Westmoreland County,Pennsylvania,365169,352627
Westmoreland County,Virginia,17454,17780
Weston County,Wyoming,7208,6927
Wetzel County,West Virginia,16583,15437
Wexford County,Michigan,32735,33276
Wharton County,Texas,41280,41968
Whatcom County,Washington,201140,221404
Wheatland County,Montana,2168,2140
Wheeler County,Georgia,7421,7952
Wheeler County,Nebraska,818,818
Wheeler County,Oregon,1441,1357
Wheeler County,Texas,5410,5358
White County,Arkansas,77076,79016
White County,Georgia,27144,29453
White County,Illinois,14665,13938
White County,Indiana,24643,24182
White County,Tennessee,25841,26753
White Pine County,Nevada,10030,9592
Whiteside County,Illinois,58498,56118
Whitfield County,Georgia,102599,104658
Whitley County,Indiana,33292,33756
Whitley County,Kentucky,35637,36214
Whitman County,Washington,44776,49046
Wibaux County,Montana,1017,1020
Wichita County,Kansas,2234,2125
Wichita County,Texas,131500,132000
Wicomico County,Maryland,98733,102923
Wilbarger County,Texas,13535,12764
Wilcox County,Alabama,11670,10719
Wilcox County,Georgia,9255,8800
Wilkes County,Georgia,10593,9892
Wilkes County,North Carolina,69340,68576
Wilkin County,Minnesota,6576,6324
Wilkinson County,Georgia,9563,8959
Wilkinson County,Mississippi,9878,8804
Will County,Illinois,677560,692661
Willacy County,Texas,22134,21584
Williams County,North Dakota,22398,33349
Williams County,Ohio,37642,36784
Williamsburg city,Virginia,14068,15031
Williamsburg County,South Carolina,34423,31133
Williamson County,Illinois,66357,67328
Williamson County,Tennessee,183182,226257
Williamson County,Texas,422679,547545
Wilson County,Kansas,9409,8675
Wilson County,North Carolina,81234,81671
Wilson County,Tennessee,113993,136442
Wilson County,Texas,42918,49304
Winchester city,Virginia,26203,27932
Windham County,Connecticut,118428,116359
Windham County,Vermont,44513,42869
Windsor County,Vermont,56670,55100
Winkler County,Texas,7110,7574
Winn Parish,Louisiana,15313,14311
Winnebago County,Illinois,295266,284778
Winnebago County,Iowa,10866,10587
Winnebago County,Wisconsin,166994,170414
Winneshiek County,Iowa,21056,20201
Winona County,Minnesota,51461,50873
Winston County,Alabama,24484,23722
Winston County,Mississippi,19198,18246
Wirt County,West Virginia,5717,5794
Wise County,Texas,59127,66181
Wise County,Virginia,41452,38586
Wolfe County,Kentucky,7355,7264
Wood County,Ohio,125488,130492
Wood County,Texas,41964,44314
Wood County,West Virginia,86956,85104
Wood County,Wisconsin,74749,73126
Woodbury County,Iowa,102172,102429
Woodford County,Illinois,38664,38726
Woodford County,Kentucky,24939,26368
Woodruff County,Arkansas,7260,6571
Woods County,Oklahoma,8878,9031
Woodson County,Kansas,3309,3147
Woodward County,Oklahoma,20081,20459
Worcester County,Maryland,51454,51690
Worcester County,Massachusetts,798552,826116
Worth County,Georgia,21679,20533
Worth County,Iowa,7598,7469
Worth County,Missouri,2171,2057
Wrangell City and Borough,Alaska,2369,2521
Wright County,Iowa,13229,12784
Wright County,Minnesota,124700,134286
Wright County,Missouri,18815,18331
Wyandot County,Ohio,22615,22029
Wyandotte County,Kansas,157505,165288
Wyoming County,New York,42155,40493
Wyoming County,Pennsylvania,28276,27322
Wyoming County,West Virginia,23796,21210
Wythe County,Virginia,29235,28882
Yadkin County,North Carolina,38406,37774
Yakima County,Washington,243231,250193
Yakutat City and Borough,Alaska,662,605
Yalobusha County,Mississippi,12678,12497
Yamhill County,Oregon,99193,105722
Yancey County,North Carolina,17818,17744
Yankton County,South Dakota,22438,22662
Yates County,New York,25348,24955
Yavapai County,Arizona,211033,228168
Yazoo County,Mississippi,28065,27057
Yell County,Arkansas,22185,21523
Yellow Medicine County,Minnesota,10438,9867
Yellowstone County,Montana,147972,158980
Yoakum County,Texas,7879,8568
Yolo County,California,200849,219116
York County,Maine,197131,204191
York County,Nebraska,13665,13806
York County,Pennsylvania,434972,446078
York County,South Carolina,226073,266439
York County,Virginia,65464,67739
Young County,Texas,18550,17979
Yuba County,California,72155,77031
Yukon-Koyukuk Census Area,Alaska,5588,5365
Yuma County,Arizona,195751,207534
Yuma County,Colorado,10043,10075
Zapata County,Texas,14018,14322
Zavala County,Texas,11677,11948
Ziebach County,South Dakota,2801,2756
